"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"RSQLite","RSQLite","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1.1",NA,"R (>= 3.1.0)","bit64, blob (>= 1.1.1), DBI (>= 1.0.0), memoise, methods,
pkgconfig, Rcpp (>= 0.12.7)","BH, plogr (>= 0.2.0), Rcpp","DBItest, knitr, rmarkdown, testthat",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"rstan","rstan","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.17.3",NA,"R (>= 3.0.2), ggplot2 (>= 2.0.0), StanHeaders (>= 2.17.2)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0)","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>= 1.65),
StanHeaders (>= 2.17.2)","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.65), parallel,
KernSmooth, loo (>= 1.0.0), shinystan (>= 2.2.1), bayesplot,
rstantools, rstudioapi, Matrix, knitr (>= 1.15.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"rstanarm","rstanarm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.17.4",NA,"R (>= 3.2.0), Rcpp (>= 0.12.0), methods","bayesplot (>= 1.5.0), ggplot2 (>= 2.2.1), lme4 (>= 1.1-8), loo
(>= 2.0.0), Matrix (>= 1.2-13), nlme (>= 3.1-124), rstan (>=
2.17.2), rstantools (>= 1.4.0), shinystan (>= 2.3.0), stats,
survival (>= 2.40.1), utils","StanHeaders (>= 2.17.1), rstan (>= 2.17.2), BH (>= 1.65.0),
Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0)","betareg, data.table (>= 1.10.0), digest, gridExtra, HSAUR3,
knitr (>= 1.15.1), MASS, mgcv (>= 1.8-13), rmarkdown, roxygen2,
testthat (>= 1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"rstantools","rstantools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5.0",NA,NA,"stats, utils",NA,"bayesplot (>= 1.5.0), rstan (>= 2.17.2), rstanarm (>=
2.17.4), shinystan (>= 2.4.0), loo (>= 2.0.0), testthat, covr,
knitr, devtools, roxygen2 (>= 6.0.1), rmarkdown, rstudioapi,
usethis (>= 1.3.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"rstudioapi","rstudioapi","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7",NA,NA,NA,NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"rsvg","rsvg","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3",NA,NA,NA,NA,"spelling, svglite, png, jpeg, webp, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"rticles","rticles","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5",NA,NA,"utils, rmarkdown, knitr, yaml, tinytex, xfun",NA,"testit, bookdown, xtable",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"Rtsne","Rtsne","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.13",NA,NA,"Rcpp (>= 0.11.0)","Rcpp","testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"Rttf2pt1","Rttf2pt1","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.7",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","3.5.0"
"rtweet","rtweet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6.7",NA,"R (>= 3.1.0)","httr (>= 1.3.0), jsonlite (>= 0.9.22), magrittr (>= 1.5.0),
tibble (>= 1.3.4), utils",NA,"ggplot2, knitr, magick, openssl, readr, rmarkdown, testthat,
webshot, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"rugarch","rugarch","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4-0",NA,"R (>= 3.0.2), methods, parallel","Rsolnp, nloptr, ks, numDeriv, spd, xts, zoo, chron,
SkewHyperbolic, expm, Rcpp,graphics, stats, grDevices, utils","Rcpp (>= 0.10.6), RcppArmadillo (>= 0.2.34)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"RUnit","RUnit","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.32",NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0), graphics
(>= 2.5.0)",NA,NA,"XML (>= 3.1.0)",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"rversions","rversions","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.3",NA,NA,"curl, xml2 (>= 1.0.0), utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"rvest","rvest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.2",NA,"R (>= 3.0.1), xml2","httr (>= 0.5), selectr, magrittr",NA,"testthat, knitr, png, stringi (>= 0.3.1), rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"Rvmmin","Rvmmin","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2018-4.17",NA,NA,"optextras",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"sampleSelection","sampleSelection","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-0",NA,"R (>= 2.10), maxLik (>= 0.7-3), stats","miscTools (>= 0.6-3), systemfit (>= 1.0-0), Formula (>=
1.1-1), VGAM (>= 0.9-4), mvtnorm (>= 0.9-9994)",NA,"lmtest, Ecdat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"sandwich","sandwich","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.4-0",NA,"R (>= 2.10.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov, pcse,
plm, pscl, scatterplot3d, stats4, strucchange, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"SAScii","SAScii","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"satellite","satellite","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,"R (>= 2.10), raster, methods, utils, stats, grDevices,
graphics","plyr, Rcpp (>= 0.10.3), tools, stats4","Rcpp","devtools, knitr, rgdal, testthat, rmarkdown",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"scagnostics","scagnostics","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2-4.1",NA,"rJava",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","3.5.0"
"scales","scales","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"R (>= 3.1)","labeling, munsell (>= 0.5), R6, RColorBrewer, Rcpp,
viridisLite","Rcpp","dichromat, bit64, covr, hms, testthat (>= 2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"scatterplot3d","scatterplot3d","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-41",NA,"R (>= 2.7.0)","grDevices, graphics, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"selectr","selectr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4-1",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","3.5.0"
"sem","sem","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.1-9",NA,"R (>= 2.14.0), stats","matrixcalc, MASS, boot, mi (>= 0.9-99), utils",NA,"polycor, MBESS, DiagrammeR",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"seriation","seriation","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-3",NA,"R (>= 2.14.0)","TSP, qap, grid, cluster, gclus, dendextend, colorspace, MASS,
gplots, registry, methods, stats, grDevices",NA,"biclust, testthat, DendSer, GA",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"sessioninfo","sessioninfo","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"setRNG","setRNG","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2013.9-1",NA,"R (>= 2.5.0)",NA,NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"sf","sf","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6-3",NA,"R (>= 3.3.0), methods","utils, stats, tools, graphics, grDevices, grid, Rcpp, DBI (>=
0.8), units (>= 0.5-1), classInt, magrittr","Rcpp","lwgeom (>= 0.1-2), maps, rgdal, rgeos, sp (>= 1.2-4), raster,
spatstat, tmap, maptools, RSQLite, tibble (>= 1.4.1), pillar,
rlang, dplyr (>= 0.7-0), tidyr (>= 0.7-2), RPostgreSQL,
RPostgres (>= 1.1.0), odbc, tidyselect, ggplot2, mapview,
testthat, knitr, covr, microbenchmark, rmarkdown",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"sfsmisc","sfsmisc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-2",NA,"R (>= 3.2.0)","grDevices, methods, utils, stats",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme, lokern","mgcv, rpart, nor1mix, polycor, sm, tikzDevice","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"shiny","shiny","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.4.3), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest, htmltools (>= 0.3.5), R6 (>= 2.0),
sourcetools, later (>= 0.7.2), promises (>= 1.0.1), tools,
crayon, rlang",NA,"datasets, Cairo (>= 1.5-5), testthat, knitr (>= 1.6),
markdown, rmarkdown, ggplot2, magrittr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"shinyAce","shinyAce","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.1",NA,"R (>= 3.4.0)","shiny (>= 1.0.5), jsonlite",NA,"testthat (>= 2.0.0), dplyr (>= 0.7.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"shinydashboard","shinydashboard","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.0",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6)",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"shinyjs","shinyjs","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, testthat (>= 0.9.1), V8
(>= 0.6)",NA,"AGPL-3",NA,NA,NA,NA,"no","3.5.0"
"shinystan","shinystan","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.5.0",NA,"R (>= 3.1.0), shiny (>= 1.0.3)","bayesplot (>= 1.5.0), colourpicker, DT (>= 0.2), dygraphs (>=
1.1.1.2), ggplot2 (>= 2.1.1), gridExtra, gtools, markdown (>=
0.7.4), methods, reshape2, rsconnect (>= 0.4.2), rstan (>=
2.17.1), stats, shinyjs (>= 0.6.0), shinythemes (>= 1.0.1),
threejs (>= 0.2.1), utils, xtable, xts (>= 0.9-7)",NA,"coda, knitr (>= 1.9), rmarkdown (>= 0.8.1), rstanarm (>=
2.17.4), testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"shinythemes","shinythemes","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.1",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"showtext","showtext","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5-1",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","3.5.0"
"showtextdb","showtextdb","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0",NA,NA,"sysfonts (>= 0.7.1), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.5.0"
"SimComp","SimComp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.2",NA,NA,"mvtnorm, multcomp, mratios, graphics, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"sjlabelled","sjlabelled","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.12",NA,"R (>= 3.2), stats","broom (>= 0.4.5), dplyr (>= 0.7.1), haven (>= 1.1.2),
magrittr, prediction, purrr (>= 0.2.2.2), rlang, snakecase (>=
0.8.1), tibble (>= 1.3.3), tidyselect, utils",NA,"ggplot2, glmmTMB, Hmisc, sjmisc, sjPlot, survey, knitr,
rmarkdown, Zelig",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"sjmisc","sjmisc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.7.3",NA,"R (>= 3.2), stats, utils","broom (>= 0.4.2), crayon, dplyr (>= 0.7.1), haven (>= 1.0.0),
magrittr, pillar, purrr, rlang, sjlabelled (>= 1.0.8),
stringdist (>= 0.9.4), stringr (>= 1.2.0), tibble (>= 1.4.1),
tidyr (>= 0.7.0), tidyselect",NA,"ggplot2, graphics, mice, sjPlot (>= 2.4.0), sjstats (>=
0.13.0), knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"SkewHyperbolic","SkewHyperbolic","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-2",NA,"R (>= 2.3.0), DistributionUtils, GeneralizedHyperbolic, RUnit",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"skewt","skewt","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.5.0"
"slackr","slackr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.2",NA,"R (>= 3.0.0)","httr (>= 0.4.0), jsonlite, ggplot2, utils, methods, dplyr,
graphics, grDevices",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"slam","slam","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-43",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"sna","sna","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.4",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"snakecase","snakecase","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.1",NA,"R (>= 3.1)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"snow","snow","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4-2",NA,"R (>= 2.13.1), utils",NA,NA,"Rmpi,rlecuyer,nws",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"SnowballC","SnowballC","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5.1",NA,NA,NA,NA,NA,NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"snowfall","snowfall","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.84-6.1",NA,"R (>= 2.10), snow",NA,NA,"Rmpi",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"som","som","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-5.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.0"
"sourcetools","sourcetools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"sp","sp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-1",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 0.8-7), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"spacetime","spacetime","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-2",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes, diveMove, foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, RPostgreSQL, knitr, googleVis, ISOcodes",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"spacyr","spacyr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.91",NA,"R (>= 3.0.0), methods","data.table, reticulate (>= 1.6)",NA,"rmarkdown, testthat, knitr, quanteda",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"spam","spam","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2-0",NA,"R (>= 3.1), dotCall64, grid, methods",NA,NA,"spam64, fields, SparseM, Matrix, testthat, R.rsp, truncdist",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"SparseM","SparseM","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.77",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"sparsepp","sparsepp","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.21",NA,NA,NA,NA,"Rcpp",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","7.3-11","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.1"
"spatstat","spatstat","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.56-0",NA,"R (>= 3.3.0), spatstat.data (>= 1.3-0), stats, graphics,
grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 1.8-0), mgcv, Matrix, deldir (>= 0.0-21),
abind, tensor, polyclip (>= 1.5-0), goftest",NA,"sm, maptools, gsl, locfit, spatial, rpanel, tkrplot,
RandomFields (>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1),
fftwtools (>= 0.9-8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"spatstat.data","spatstat.data","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-1",NA,"R (>= 3.3.0)","spatstat.utils",NA,"spatstat (>= 1.55-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"spatstat.utils","spatstat.utils","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9-0",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"spd","spd","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0-1",NA,"methods","KernSmooth, stats, graphics, utils",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"spData","spData","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.9.0",NA,"R (>= 3.3.0)",NA,NA,"foreign, maptools, raster, rgdal, sf, sp, spDataLarge (>=
0.2.7.0), spdep",NA,"CC0",NA,NA,NA,NA,"no","3.5.0"
"spdep","spdep","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7-7",NA,"R (>= 3.0.0), methods, sp (>= 1.0), Matrix (>= 1.0.12), spData
(>= 0.2.6.0)","LearnBayes, deldir, boot (>= 1.3-1), splines, coda, nlme,
MASS, stats, gmodels, expm, graphics, grDevices, utils",NA,"sf, parallel, spam(>= 0.13-1), RANN, rgeos, RColorBrewer,
lattice, xtable, maptools (>= 0.5-4), foreign, igraph, knitr,
rgdal, classInt",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"speedglm","speedglm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-2",NA,"Matrix, MASS","methods, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"spelling","spelling","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2",NA,NA,"commonmark, xml2, hunspell (>= 2.9), knitr",NA,"pdftools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"sphet","sphet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.7",NA,"R (>= 3.0.1)","nlme, spdep (>= 0.5-67), Matrix, sp, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"splines","splines","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"splm","splm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4-11",NA,"R (>= 2.12.0), spdep","plm, maxLik, MASS, bdsmatrix, ibdreg, nlme, Matrix, spam,
methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"spls","spls","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2-2",NA,"R (>= 2.14)","MASS, nnet, parallel, pls",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"SQUAREM","SQUAREM","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2017.10-1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"srvyr","srvyr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3.3",NA,"R (>= 3.1.2)","dplyr (>= 0.7), magrittr, rlang, survey, tibble",NA,"convey, DBI, dbplyr, ggplot2, knitr, Matrix, rmarkdown,
pander, RSQLite, MonetDBLite, survival, testthat, vardpoor",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"stabledist","stabledist","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7-1",NA,"R (>= 3.1.0)","stats",NA,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"StanHeaders","StanHeaders","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.17.2",NA,NA,NA,NA,"RcppEigen, BH",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"stargazer","stargazer","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","5.2.2",NA,NA,"stats, utils",NA,NA,"AER, betareg, brglm, censReg, dynlm, eha, erer, ergm, fGarch,
gee, glmx, gmm, lfe, lme4, lmtest, MASS, mclogit, mgcv, mlogit,
mnlogit, nlme, nnet, ordinal, plm, pscl, quantreg, rms,
relevent, robustbase, sampleSelection, spdep, survey, survival,
Zelig","GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"statmod","statmod","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.30",NA,"R (>= 1.6.1)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"statnet","statnet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2016.9",NA,"R (>= 3.0), tergm (>= 3.4), ergm.count (>= 3.2.2), sna (>=
2.4)","statnet.common (>= 3.3), network (>= 1.13), networkDynamic (>=
0.9), ergm (>= 3.6)",NA,"networksis (>= 2.1.3), degreenet (>= 1.3.1), relevent (>=
1.0.4), ndtv (>= 0.10), EpiModel (>= 1.2.7), latentnet (>=
2.7.1), tsna (>= 0.2)",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"statnet.common","statnet.common","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","4.1.4",NA,NA,"utils, methods, coda",NA,"covr",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 3.5.1",NA,NA,NA,NA,NA,"3.5.1"
"stm","stm","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.3",NA,"R (>= 3.2.2)","matrixStats, splines, slam, lda, quanteda, stringr, Matrix,
glmnet, Rcpp (>= 0.11.3), grDevices, graphics, stats, utils,
data.table, quadprog, parallel, methods","Rcpp, RcppArmadillo","igraph, SnowballC, tm (>= 0.6), huge, clue, wordcloud,
KernSmooth, NLP, LDAvis, geometry, Rtsne, testthat, rsvd",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"stopwords","stopwords","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.0",NA,"R (>= 2.10)","ISOcodes",NA,"quanteda, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"stringdist","stringdist","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.5.1",NA,"R (>= 2.15.3)","parallel",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"stringi","stringi","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.1",NA,"R (>= 2.14)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","3.5.2"
"stringr","stringr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.2"
"strucchange","strucchange","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5-1",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats",NA,"stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
